earnings_date,name,short_float,symbol,datetime,url
2022-02-14,"Agilent Technologies, Inc.",1.34,A,2022-01-10,https://finance.yahoo.com/quote/A/
2020-04-01,568516,0.01,ACV,2022-01-10,https://finance.yahoo.com/quote/ACV/
2022-03-16,"ARCA biopharma, Inc.",2.56,ABIO,2022-01-10,https://finance.yahoo.com/quote/ABIO/
2022-02-09,AllianceBernstein Holding L.P.,0.91,AB,2022-01-10,https://finance.yahoo.com/quote/AB/
2022-02-17,Arbor Realty Trust,3.43,ABR,2022-01-10,https://finance.yahoo.com/quote/ABR/
2022-01-20,"American Airlines Group, Inc.",15.82,AAL,2022-01-10,https://finance.yahoo.com/quote/AAL/
2022-01-20,"Advaxis, Inc.",2.15,ADXS,2022-01-10,https://finance.yahoo.com/quote/ADXS/
2022-02-23,Addus HomeCare Corporation,3.26,ADUS,2022-01-10,https://finance.yahoo.com/quote/ADUS/
2022-01-24,"Atlantic Capital Bancshares, In",0.76,ACBI,2022-01-10,https://finance.yahoo.com/quote/ACBI/
2022-02-28,"Adverum Biotechnologies, Inc.",6.22,ADVM,2022-01-10,https://finance.yahoo.com/quote/ADVM/
2022-01-11,"Albertsons Companies, Inc.",2.51,ACI,2022-01-10,https://finance.yahoo.com/quote/ACI/
2022-02-07,Arch Capital Group Ltd.,0.69,ACGL,2022-01-10,https://finance.yahoo.com/quote/ACGL/
2022-02-07,"Acasti Pharma, Inc.",2.0,ACST,2022-01-10,https://finance.yahoo.com/quote/ACST/
2022-02-23,"Applied Optoelectronics, Inc.",12.71,AAOI,2022-01-10,https://finance.yahoo.com/quote/AAOI/
2022-02-16,Atlas Air Worldwide Holdings,14.52,AAWW,2022-01-10,https://finance.yahoo.com/quote/AAWW/
2022-02-16,Ares Commercial Real Estate Cor,1.48,ACRE,2022-01-10,https://finance.yahoo.com/quote/ACRE/
2022-02-02,"Enact Holdings, Inc.",0,ACT,2022-01-10,https://finance.yahoo.com/quote/ACT/
2022-03-14,"Accel Entertainment, Inc.",1.69,ACEL,2022-01-10,https://finance.yahoo.com/quote/ACEL/
2022-03-21,AC Immune SA,0.7,ACIU,2022-01-10,https://finance.yahoo.com/quote/ACIU/
2022-01-25,Adams Diversified Equity Fund I,0.56,ADX,2022-01-10,https://finance.yahoo.com/quote/ADX/
2022-02-22,ADT Inc.,1.27,ADT,2022-01-10,https://finance.yahoo.com/quote/ADT/
2022-03-28,Acacia Research Corporation,1.59,ACTG,2022-01-10,https://finance.yahoo.com/quote/ACTG/
2022-03-07,ABM Industries Incorporated,2.01,ABM,2022-01-10,https://finance.yahoo.com/quote/ABM/
2022-03-01,Altisource Asset Management Cor,0.27,AAMC,2022-01-10,https://finance.yahoo.com/quote/AAMC/
2022-02-28,Acer Therapeutics Inc.,2.19,ACER,2022-01-10,https://finance.yahoo.com/quote/ACER/
2022-03-09,"Achieve Life Sciences, Inc.",4.36,ACHV,2022-01-10,https://finance.yahoo.com/quote/ACHV/
2022-01-27,ACNB Corporation,0.45,ACNB,2022-01-10,https://finance.yahoo.com/quote/ACNB/
2022-03-21,Atlantic American Corporation,0.48,AAME,2022-01-10,https://finance.yahoo.com/quote/AAME/
2022-01-26,"Automatic Data Processing, Inc.",1.14,ADP,2022-01-10,https://finance.yahoo.com/quote/ADP/
2022-01-31,Asbury Automotive Group Inc,5.67,ABG,2022-01-10,https://finance.yahoo.com/quote/ABG/
2022-03-23,ADMA Biologics Inc,5.09,ADMA,2022-01-10,https://finance.yahoo.com/quote/ADMA/
2022-03-22,Abeona Therapeutics Inc.,1.32,ABEO,2022-01-10,https://finance.yahoo.com/quote/ABEO/
